Name,Link
EuroHostelSpb na Nevskom 22-24,https://tury.ru/hotel/id/88313-russia-st-petersburg-eurohostelspb-na-nevskom-22-24
EuroHostelSpb Nekrasova 60,https://tury.ru/hotel/id/88315-russia-st-petersburg-eurohostelspb-nekrasova-60
Na Nekrasova Mini Hotel,https://tury.ru/hotel/id/89833-russia-st-petersburg-na-nekrasova
Istoriya-Usadba mini hotel 3*,https://tury.ru/hotel/id/91549-russia-st-petersburg-istoriya-usadba-mini-hotel
Tavricheskaya Hotel 3*,https://tury.ru/hotel/id/91849-russia-st-petersburg-tavricheskaya-tavricheskaya
Obschezhitie Gostinichnogo tipa,https://tury.ru/hotel/id/92256-russia-st-petersburg-obschezhitie-gostinichnogo-tipa
Agni mini hotel,https://tury.ru/hotel/id/92710-russia-st-petersburg-agni-mini-hotel
Solo na Gorohovoj mini hotel,https://tury.ru/hotel/id/93609-russia-st-petersburg-solo-na-gorohovoj-mini-hotel
Solo РЅР° Р‘РѕР»СЊС€РѕРј (Solo na Bolshom),https://tury.ru/hotel/id/93610-russia-st-petersburg-solo-na-bolshom-solo-na-bolshom
Solo na Furshtatskoj mini hotel,https://tury.ru/hotel/id/93611-russia-st-petersburg-solo-na-furshtatskoj-mini-hotel
Ra hotel 2*,https://tury.ru/hotel/id/93615-russia-st-petersburg-ra-hotel-2
Renaissance St. Petersburg Baltic hotel 5*,https://tury.ru/hotel/id/93616-russia-st-petersburg-renaissance-st-petersburg-baltic-hotel-5
Repino Cronwell Park Hotel 4*,https://tury.ru/hotel/id/93744-russia-repino-spb-repino-cronwell-park
Zarya boarding house with treatment,https://tury.ru/hotel/id/93746-russia-repino-spb-zarya-boarding-house-with-treatment
Gelios hotel Saint-Petersburg 3*,https://tury.ru/hotel/id/93747-russia-zelenogorsk-gorod-gelios-hotel-saint-petersburg
Morskoi Vokzal hotel 3*,https://tury.ru/hotel/id/93829-russia-st-petersburg-morskoy-vokzal-3
Samson hotel 3*,https://tury.ru/hotel/id/93830-russia-st-petersburg-samson-hotel
